Order_ID,Order_Date,Ship_Date,Year,Customer_ID,Customer_Name,Segment,Region,State,City,Country,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Inventory_Days,Unit_Cost,Selling_Price,Stock_Level,Supplier
ORD00001,28-11-2023,30-11-2023,2023,CUST1001,Shreya Das,Home Office,East,Assam,Guwahati,India,Technology,Laptop,Laptop Model 319,7839,9,0.1,1601.55,9,605.95,871,64,ITC Supply
ORD00002,04-03-2024,05-03-2024,2024,CUST1002,Harini Balaji,Home Office,North,Delhi,New Delhi,India,Office Supplies,Binder,Binder Model 696,4732,1,0,1008.57,12,3723.43,4732,223,Tata Suppliers
ORD00003,15-08-2023,16-08-2023,2023,CUST1003,Sanjay Rao,Home Office,North,Punjab,Ludhiana,India,Furniture,Chair,Chair Model 285,9576,9,0.2,1655.46,18,667.26,1064,116,Mahindra Traders
ORD00004,10-04-2023,15-04-2023,2023,CUST1004,Vignesh Kumar,Home Office,South,Tamil Nadu,Chennai,India,Office Supplies,Paper,Paper Model 564,35640,8,0.15,3766.88,51,3315.89,4455,173,Reliance Distributors
ORD00005,04-07-2023,10-07-2023,2023,CUST1005,Pooja Singh,Home Office,North,Delhi,New Delhi,India,Office Supplies,Binder,Binder Model 174,37395,9,0.1,6268.86,20,3042.96,4155,282,ITC Supply
ORD00006,18-06-2023,21-06-2023,2023,CUST1006,Sanjay Rao,Corporate,North,Punjab,Ludhiana,India,Furniture,Chair,Chair Model 448,9342,2,0.2,492.58,49,3490.51,4671,274,Adani Logistics
ORD00007,12-04-2024,13-04-2024,2024,CUST1007,Nikhil Joshi,Corporate,South,Kerala,Kochi,India,Furniture,Bookcase,Bookcase Model 391,1194,2,0.1,224.74,54,424.93,597,197,Tata Suppliers
ORD00008,17-04-2024,20-04-2024,2024,CUST1008,Ananya Iyer,Corporate,North,Uttar Pradesh,Lucknow,India,Technology,Printer,Printer Model 500,1887,1,0.1,599.43,68,1098.87,1887,61,Reliance Distributors
ORD00009,04-04-2024,08-04-2024,2024,CUST1009,Karthik Raj,Consumer,West,Maharashtra,Mumbai,India,Furniture,Bookcase,Bookcase Model 254,17510,5,0.1,3139.9,15,2523.82,3502,110,Reliance Distributors
ORD00010,26-08-2023,01-09-2023,2023,CUST1010,Raja Sekaran,Home Office,North,Delhi,New Delhi,India,Furniture,Bookcase,Bookcase Model 478,6756,3,0.1,2357.7,83,1240.9,2252,183,Reliance Distributors
ORD00011,08-12-2024,13-12-2024,2024,CUST1011,Suresh Babu,Home Office,South,Telangana,Hyderabad,India,Office Supplies,Pen,Pen Model 510,23520,7,0.15,4738.58,12,2179.06,3360,117,Tata Suppliers
ORD00012,02-08-2023,06-08-2023,2023,CUST1012,Neha Agarwal,Consumer,North,Delhi,New Delhi,India,Furniture,Bookcase,Bookcase Model 472,938,1,0,289.19,83,648.81,938,33,Tata Suppliers
ORD00013,01-08-2023,06-08-2023,2023,CUST1013,Swathi R,Corporate,East,West Bengal,Kolkata,India,Office Supplies,Binder,Binder Model 577,18498,6,0.15,4981.32,66,1790.33,3083,267,Mahindra Traders
ORD00014,29-03-2023,31-03-2023,2023,CUST1014,Deepak Gupta,Corporate,South,Kerala,Kochi,India,Office Supplies,Binder,Binder Model 250,11376,8,0.2,2778.32,74,790.31,1422,33,Adani Logistics
ORD00015,02-11-2023,08-11-2023,2023,CUST1015,Manoj Kumar,Home Office,South,Kerala,Kochi,India,Office Supplies,Binder,Binder Model 437,9039,3,0.05,2412.06,86,2058.33,3013,134,Adani Logistics
ORD00016,19-07-2023,21-07-2023,2023,CUST1016,Aarav Sharma,Corporate,East,Assam,Guwahati,India,Technology,Laptop,Laptop Model 583,37224,9,0.1,6225.66,38,3030.66,4136,119,Adani Logistics
ORD00017,19-12-2023,23-12-2023,2023,CUST1017,Priya Sharma,Corporate,West,Gujarat,Ahmedabad,India,Technology,Laptop,Laptop Model 739,3916,2,0.15,982.22,83,1173.19,1958,20,ITC Supply
ORD00018,30-10-2024,02-11-2024,2024,CUST1018,Harini Balaji,Corporate,South,Tamil Nadu,Chennai,India,Furniture,Bookcase,Bookcase Model 188,16064,4,0.05,4682.96,55,2644.46,4016,257,ITC Supply
ORD00019,28-03-2023,03-04-2023,2023,CUST1019,Sai Kiran,Home Office,North,Delhi,New Delhi,India,Technology,Laptop,Laptop Model 946,14817,3,0.15,1457.61,81,3712.28,4939,262,Mahindra Traders
